価格,占有面積,所在地,バルコニー,沿線・駅,間取り,築年月,地下鉄,市電,ＪＲ,徒歩,バス,停歩
500,62,北海道札幌市豊平区旭町６,6.84,地下鉄東豊線「学園前」徒歩10分,3LDK,1974/11,1,0,0,10,,,
500,70.74,北海道札幌市南区真駒内本町７,-,地下鉄南北線「真駒内」バス9分停歩2分,3LDK,1973/12,1,0,0,,9,2,
500,43.53,北海道札幌市中央区南五条西９-1014-1,2.47,地下鉄南北線「すすきの」徒歩9分,2LDK,1982/11,1,0,0,9,,,
500,47.21,北海道札幌市白石区東札幌三条３,13.5,地下鉄東西線「東札幌」徒歩5分,2LDK,1982/10,1,0,0,5,,,
500,62.79,北海道札幌市中央区南十一条西８,7.11,札幌市電「中島公園通」徒歩4分,2LDK,1970/8,0,1,0,4,,,
500,41.73,北海道札幌市北区新琴似八条１-3-5,6.1,地下鉄南北線「麻生」徒歩7分,1LDK,1981/9,1,0,0,7,,,
510,31.2,北海道札幌市東区北三十四条東１０,-,地下鉄東豊線「新道東」徒歩7分,1DK,1991/,1,0,0,7,,,
510,51.4,北海道札幌市豊平区平岸四条１７-1-1,5.69,地下鉄南北線「南平岸」徒歩9分,3DK,1981/5,1,0,0,9,,,
530,76.93,北海道札幌市南区定山渓温泉西１,14.1,じょうてつバス「錦橋」徒歩8分,1LDK,1990/12,0,0,0,8,,,
540,52.48,北海道札幌市中央区南五条東２,12.56,地下鉄東豊線「豊水すすきの」徒歩4分,1LDK,1981/4,1,0,0,4,,,
540,39,北海道札幌市西区八軒六条西４-１－９,3,ＪＲ札沼線「八軒」徒歩13分,3K,1979/11,0,0,1,13,,,
540,45.36,北海道札幌市南区真駒内本町７-2-1,5.4,じょうてつバス「曙町」徒歩1分,2LDK,1974/7,0,0,0,1,,,
550,82.8,北海道札幌市南区北ノ沢９,8.77,じょうてつバス「北ノ沢8丁目」徒歩2分,4LDK,1990/8,0,0,0,2,,,
550,46.6,北海道札幌市白石区東札幌三条２,3.95,地下鉄東西線「東札幌」徒歩1分,1LDK,1975/3,1,0,0,1,,,
550,127.54,北海道札幌市南区真駒内南町４,-,地下鉄南北線「真駒内」徒歩18分,4LDK,1973/12,1,0,0,18,,,
550,58,北海道札幌市南区南三十二条西９,8.55,札幌市電「石山通」徒歩25分,2LDK,1981/10,0,1,0,25,,,
580,44.77,北海道札幌市西区八軒六条西４-1-９,6,ＪＲ札沼線「八軒」徒歩12分,3K,1979/11,0,0,1,12,,,
580,50.05,北海道札幌市南区澄川二条４,-,地下鉄南北線「澄川」徒歩11分,2LDK,1982/5,1,0,0,11,,,
580,50.05,北海道札幌市南区澄川二条４,-,地下鉄南北線「澄川」徒歩11分,2LDK,1982/5,1,0,0,11,,,
580,50.05,北海道札幌市南区澄川二条４-２－１０,-,地下鉄南北線「澄川」徒歩11分,2LDK,1982/5,1,0,0,11,,,
580,84.84,北海道札幌市西区山の手四条１０,7.62,JRバス「山の手4条11丁目」徒歩2分,4LDK,1979/7,0,0,0,2,,,
580,31.61,北海道札幌市中央区北一条西１０,8.98,地下鉄東西線「西１１丁目」徒歩3分,ワンルーム,1984/9,1,0,0,3,,,
